,timepoints,X0,Y0,U0,Zx0,Zy0,X1,Y1,U1,Zx1,Zy1,X2,Y2,U2,Zx2,Zy2,X3,Y3,U3,Zx3,Zy3,X4,Y4,U4,Zx4,Zy4,X5,Y5,U5,Zx5,Zy5,X6,Y6,U6,Zx6,Zy6,X7,Y7,U7,Zx7,Zy7,X8,Y8,U8,Zx8,Zy8,X9,Y9,U9,Zx9,Zy9,X10,Y10,U10,Zx10,Zy10,X11,Y11,U11,Zx11,Zy11,X12,Y12,U12,Zx12,Zy12,X13,Y13,U13,Zx13,Zy13,X14,Y14,U14,Zx14,Zy14
179,89.67935871743487,1.0,71.0,8.0,10.0,10.0,4.0,62.0,14.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0,67.0,4.0,9.0,10.0,10.0,2.0,65.0,13.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,74.0,0.0,6.0,10.0,10.0,71.0,0.0,9.0,10.0,10.0,0.0,63.0,17.0,10.0,10.0
180,90.18036072144288,2.0,69.0,9.0,10.0,10.0,2.0,65.0,13.0,10.0,10.0,1.0,63.0,16.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0,69.0,4.0,7.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,72.0,0.0,8.0,10.0,10.0,71.0,3.0,6.0,10.0,10.0,3.0,65.0,12.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,0.0,64.0,16.0,10.0,10.0
181,90.6813627254509,1.0,70.0,9.0,10.0,10.0,4.0,67.0,9.0,10.0,10.0,1.0,62.0,17.0,10.0,10.0,0.0,65.0,15.0,10.0,10.0,67.0,4.0,9.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,76.0,0.0,4.0,10.0,10.0,71.0,2.0,7.0,10.0,10.0,5.0,66.0,9.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,67.0,2.0,11.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0
182,91.18236472945891,1.0,70.0,9.0,10.0,10.0,3.0,64.0,13.0,10.0,10.0,1.0,64.0,15.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,66.0,5.0,9.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0,71.0,1.0,8.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,72.0,2.0,6.0,10.0,10.0,2.0,62.0,16.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,72.0,0.0,8.0,10.0,10.0,65.0,2.0,13.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0
183,91.68336673346693,1.0,68.0,11.0,10.0,10.0,4.0,64.0,12.0,10.0,10.0,3.0,68.0,9.0,10.0,10.0,0.0,68.0,12.0,10.0,10.0,67.0,6.0,7.0,10.0,10.0,2.0,69.0,9.0,10.0,10.0,68.0,0.0,12.0,10.0,10.0,71.0,0.0,9.0,10.0,10.0,72.0,3.0,5.0,10.0,10.0,4.0,62.0,14.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,75.0,1.0,4.0,10.0,10.0,64.0,3.0,13.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0
184,92.18436873747494,1.0,69.0,10.0,10.0,10.0,3.0,64.0,13.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,0.0,68.0,12.0,10.0,10.0,62.0,5.0,13.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,68.0,3.0,9.0,10.0,10.0,2.0,62.0,16.0,10.0,10.0,3.0,69.0,8.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,75.0,1.0,4.0,10.0,10.0,61.0,1.0,18.0,10.0,10.0,2.0,73.0,5.0,10.0,10.0
185,92.68537074148296,0.0,66.0,14.0,10.0,10.0,2.0,64.0,14.0,10.0,10.0,2.0,64.0,14.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,62.0,8.0,10.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,65.0,1.0,14.0,10.0,10.0,73.0,1.0,6.0,10.0,10.0,65.0,5.0,10.0,10.0,10.0,4.0,62.0,14.0,10.0,10.0,3.0,69.0,8.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,65.0,1.0,14.0,10.0,10.0,1.0,75.0,4.0,10.0,10.0
186,93.18637274549097,0.0,65.0,15.0,10.0,10.0,5.0,63.0,12.0,10.0,10.0,2.0,65.0,13.0,10.0,10.0,0.0,71.0,9.0,10.0,10.0,60.0,7.0,13.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0,71.0,4.0,5.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,65.0,3.0,12.0,10.0,10.0,5.0,61.0,14.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,63.0,1.0,16.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0
187,93.68737474949899,0.0,70.0,10.0,10.0,10.0,1.0,63.0,16.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0,2.0,69.0,9.0,10.0,10.0,60.0,5.0,15.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,67.0,3.0,10.0,10.0,10.0,76.0,0.0,4.0,10.0,10.0,61.0,4.0,15.0,10.0,10.0,3.0,55.0,22.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0
188,94.188376753507,0.0,70.0,10.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,56.0,4.0,20.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,64.0,4.0,12.0,10.0,10.0,75.0,0.0,5.0,10.0,10.0,64.0,2.0,14.0,10.0,10.0,3.0,60.0,17.0,10.0,10.0,2.0,73.0,5.0,10.0,10.0,2.0,68.0,10.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,64.0,5.0,11.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0
189,94.68937875751502,0.0,71.0,9.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,1.0,76.0,3.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,61.0,5.0,14.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,62.0,5.0,13.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,67.0,2.0,11.0,10.0,10.0,2.0,65.0,13.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0
